source,target,score
78,18823,17.95
78,4765,19.12
78,24113,23.76
78,4558,24.23
78,13158,24.33
78,2076,24.44
78,5263,24.48
78,8758,24.5
78,20000,24.54
78,22363,24.54
78,21780,24.62
78,9756,24.64
78,24284,24.67
78,1593,24.67
78,16638,24.68
78,19763,24.68
78,23879,24.71
104,1561,21.29
104,18655,21.94
104,2840,21.97
104,7933,22.08
104,23680,22.12
104,3504,22.18
104,19436,22.19
104,9218,22.27
104,17451,22.61
104,19098,22.61
104,2156,22.62
104,20649,22.66
104,1907,22.68
104,5559,22.83
104,13675,22.84
104,9902,22.97
104,20674,23.06
104,20691,23.06
104,11558,23.12
104,1749,23.15
104,25716,23.17
104,15267,23.18
104,894,23.22
104,10815,23.26
104,2985,23.34
104,11809,23.42
104,8161,23.44
104,4681,23.49
104,24906,23.49
104,10093,23.52
104,2165,23.54
104,13450,23.55
104,6018,23.6
104,15641,23.61
104,10952,23.61
104,20211,23.71
104,17194,23.72
104,21554,23.77
104,3252,23.78
104,16952,23.83
104,21100,23.83
104,15134,23.96
104,24251,23.96
104,891,23.96
104,8631,23.98
104,22941,23.99
104,2645,24.04
104,15902,24.09
104,22953,24.1
104,20724,24.11
104,13009,24.12
104,17938,24.14
104,14719,24.15
104,16455,24.15
104,5265,24.16
104,15746,24.22
104,10615,24.23
104,21391,24.25
104,17823,24.27
104,4977,24.31
104,10938,24.35
104,7194,24.36
104,13044,24.37
104,24000,24.46
104,8374,24.47
104,19827,24.47
104,11957,24.48
104,13408,24.51
104,7115,24.52
104,15929,24.53
104,18624,24.57
104,20647,24.58
104,14656,24.6
104,18981,24.6
104,13755,24.6
104,24162,24.6
104,9420,24.62
104,9426,24.62
104,22718,24.62
104,2935,24.63
104,16464,24.64
104,10117,24.65
104,7702,24.65
104,24344,24.65
104,23151,24.65
104,9556,24.66
104,14559,24.66
104,1839,24.66
104,17630,24.68
104,10773,24.69
104,2104,24.7
175,15603,22.92
175,1665,23.07
175,16638,23.08
175,23779,23.38
175,8987,23.4
175,20989,23.73
175,11069,23.8
175,7789,23.84
175,18915,23.91
175,18395,23.91
175,24397,23.95
175,3118,24.14
175,14266,24.18
175,18075,24.2
175,2840,24.21
175,3764,24.25
175,10557,24.25
175,5703,24.28
175,22944,24.3
175,13366,24.32
175,10626,24.35
175,15264,24.35
175,24113,24.36
175,4536,24.37
175,1876,24.38
175,10130,24.38
175,299,24.4
175,20914,24.46
175,10952,24.48
175,8681,24.49
175,228,24.5
175,14624,24.51
175,18705,24.52
175,11036,24.57
175,894,24.63
175,11019,24.63
175,18019,24.63
175,19786,24.66
175,19291,24.7
175,2592,24.72
228,5182,22.52
228,14266,22.6
228,24386,22.62
228,8987,22.94
228,9328,23.07
228,7191,23.11
228,11964,23.27
228,3990,23.68
228,299,23.69
228,22939,23.7
228,2985,23.7
228,20782,23.71
228,13628,23.71
228,18605,23.76
228,4936,23.84
228,18314,23.86
228,22642,23.91
228,16638,23.92
228,4933,23.93
228,14863,23.95
228,11225,23.95
228,11835,23.95
228,22953,23.96
228,18705,23.96
228,2701,24.01
228,15145,24.03
228,6298,24.08
228,25677,24.08
228,1146,24.1
228,2108,24.18
228,8084,24.19
228,2645,24.2
228,14411,24.23
228,5544,24.23
228,24989,24.24
228,24674,24.27
228,23544,24.28
228,670,24.29
228,8758,24.32
228,12025,24.32
228,14133,24.33
228,6124,24.36
228,894,24.37
228,20649,24.38
228,8161,24.4
228,7264,24.41
228,24000,24.42
228,15641,24.43
228,2840,24.43
228,727,24.44
228,15723,24.46
228,3983,24.49
228,19392,24.49
228,7702,24.5
228,25382,24.51
228,23103,24.51
228,14210,24.53
228,3218,24.57
228,7789,24.57
228,18981,24.57
228,10703,24.61
228,3727,24.61
228,3028,24.61
228,8784,24.62
228,8574,24.62
228,22105,24.64
228,19271,24.65
228,1532,24.65
228,14505,24.66
228,15264,24.67
228,13447,24.67
228,3118,24.71
228,18696,24.71
228,15760,24.71
228,19436,24.72
228,24237,24.72
299,14863,18.1
299,2645,20.21
299,23456,20.26
299,11835,20.65
299,13755,21.52
299,21502,21.84
299,22203,22.01
299,15145,22.05
299,25716,22.06
299,24989,22.55
299,20358,22.6
299,11403,22.79
299,13602,22.83
299,13080,22.95
299,18147,22.97
299,3316,23.06
299,11019,23.13
299,20730,23.17
299,4936,23.2
299,11407,23.21
299,24397,23.25
299,8758,23.33
299,5395,23.38
299,15927,23.4
299,15679,23.42
299,3990,23.43
299,20691,23.46
299,16464,23.54
299,1486,23.6
299,10241,23.61
299,11052,23.61
299,6063,23.63
299,21394,23.63
299,3504,23.63
299,544,23.65
299,8627,23.67
299,21185,23.7
299,15902,23.74
299,12025,23.79
299,8828,23.83
299,9218,23.85
299,23752,23.88
299,12094,23.88
299,9451,23.92
299,2429,23.96
299,24504,24.0
299,20782,24.03
299,25382,24.06
299,12617,24.09
299,23270,24.1
299,23103,24.11
299,25611,24.11
299,1593,24.11
299,24344,24.12
299,22941,24.13
299,20914,24.17
299,11606,24.21
299,2392,24.22
299,18981,24.27
299,10467,24.3
299,8116,24.31
299,15950,24.31
299,24674,24.33
299,21708,24.34
299,20649,24.38
299,13393,24.39
299,14637,24.4
299,2108,24.4
299,23775,24.42
299,15760,24.43
299,13675,24.44
299,8574,24.46
299,22576,24.46
299,10952,24.47
299,14122,24.47
299,8161,24.5
299,796,24.53
299,21391,24.54
299,18696,24.56
299,22953,24.57
299,16984,24.58
299,21687,24.59
299,6346,24.6
299,8054,24.61
299,10688,24.64
299,5544,24.64
299,17798,24.64
299,18314,24.65
299,23793,24.65
299,10170,24.65
299,7264,24.66
299,2535,24.66
299,8987,24.7
299,12084,24.72
299,18997,24.72
485,16549,20.86
485,1538,21.06
485,1670,21.43
485,15577,21.82
485,3079,22.08
485,18314,22.3
485,14464,22.95
485,19489,22.98
485,6099,23.01
485,23339,23.05
485,22191,23.09
485,2076,23.19
485,12854,23.25
485,16492,23.29
485,11364,23.31
485,16384,23.33
485,10467,23.47
485,6425,23.5
485,5780,23.54
485,19340,23.55
485,20289,23.59
485,9428,23.59
485,7384,23.61
485,4736,23.65
485,17765,23.65
485,21112,23.66
485,5263,23.69
485,7329,23.71
485,4422,23.73
485,10935,23.75
485,2535,23.76
485,24397,23.78
485,24203,23.78
485,970,23.82
485,8621,23.86
485,7148,23.88
485,24229,23.89
485,25027,23.96
485,10626,24.0
485,9489,24.03
485,23385,24.07
485,18293,24.08
485,18997,24.08
485,23176,24.08
485,10615,24.08
485,11225,24.11
485,14210,24.12
485,16722,24.22
485,21550,24.23
485,13673,24.24
485,25753,24.25
485,19349,24.28
485,3334,24.29
485,15813,24.3
485,23460,24.31
485,5544,24.34
485,26117,24.35
485,16455,24.35
485,13408,24.36
485,11606,24.37
485,21391,24.39
485,3592,24.41
485,3871,24.41
485,19633,24.43
485,24674,24.45
485,7762,24.47
485,17823,24.47
485,20521,24.48
485,25812,24.49
485,10093,24.51
485,16176,24.52
485,25182,24.53
485,15873,24.57
485,13393,24.6
485,20624,24.62
485,19413,24.63
485,20058,24.66
485,16859,24.66
485,2539,24.67
485,1907,24.68
485,18856,24.7
544,13602,20.92
544,24989,22.17
544,15145,22.34
544,13009,22.36
544,16549,22.6
544,1538,22.71
544,5994,22.73
544,3504,22.74
544,15577,22.89
544,14916,22.93
544,8758,23.08
544,10557,23.14
544,1670,23.17
544,18994,23.22
544,1486,23.28
544,12094,23.31
544,19489,23.4
544,10241,23.4
544,4936,23.4
544,14863,23.47
544,5263,23.49
544,12025,23.53
544,5395,23.55
544,13755,23.57
544,13843,23.58
544,23752,23.6
544,24003,23.61
544,8631,23.66
544,23775,23.69
544,20730,23.7
544,17650,23.72
544,24674,23.77
544,19633,23.8
544,12084,23.82
544,856,23.83
544,13044,23.84
544,5536,23.86
544,19663,23.89
544,22953,23.92
544,14464,23.94
544,15679,24.01
544,16464,24.02
544,11019,24.04
544,8331,24.07
544,25716,24.09
544,7264,24.13
544,25677,24.14
544,6999,24.16
544,3592,24.17
544,9714,24.19
544,11069,24.22
544,20447,24.23
544,10466,24.25
544,6063,24.26
544,20289,24.26
544,1561,24.27
544,22203,24.28
544,14719,24.3
544,16691,24.33
544,1146,24.33
544,15928,24.35
544,16722,24.35
544,22191,24.36
544,21708,24.39
544,17618,24.39
544,9203,24.4
544,10219,24.43
544,23456,24.46
544,14210,24.47
544,26117,24.48
544,15927,24.49
544,9451,24.5
544,18605,24.52
544,19271,24.53
544,21550,24.54
544,5780,24.56
544,2662,24.57
544,10688,24.57
544,9815,24.58
544,17233,24.61
544,1708,24.61
544,24397,24.62
544,4688,24.63
544,14656,24.63
544,24545,24.64
544,9756,24.65
544,10668,24.65
544,14778,24.66
544,21687,24.67
544,8054,24.67
544,12617,24.68
544,11835,24.7
544,2392,24.7
544,20000,24.71
544,19436,24.71
544,11407,24.72
544,21502,24.72
544,18396,24.72
544,21100,24.72
574,15894,22.41
574,22145,22.68
574,8828,23.27
574,19846,23.3
574,21875,23.39
574,11957,23.47
574,5092,23.5
574,13620,23.52
574,23176,23.63
574,4533,23.68
574,2701,23.69
574,10591,23.7
574,17618,23.82
574,16984,23.88
574,22645,23.92
574,3118,23.92
574,1710,23.96
574,16455,23.97
574,3028,23.99
574,23879,24.05
574,15510,24.16
574,1593,24.17
574,8374,24.19
574,25812,24.2
574,9426,24.25
574,20184,24.27
574,16691,24.31
574,3990,24.32
574,14559,24.33
574,8331,24.34
574,9815,24.34
574,16799,24.35
574,20914,24.36
574,10557,24.37
574,23544,24.43
574,1556,24.44
574,14133,24.49
574,2979,24.51
574,22872,24.51
574,24251,24.52
574,2617,24.54
574,3079,24.56
574,16277,24.57
574,18915,24.59
574,19403,24.6
574,13016,24.63
574,19419,24.66
574,20989,24.67
574,13118,24.68
574,11257,24.68
574,13366,24.68
574,9714,24.69
574,19192,24.69
574,3764,24.69
574,13450,24.7
574,891,24.7
574,17451,24.7
574,3218,24.72
670,24766,22.9
670,8987,23.5
670,23176,23.54
670,22576,23.88
670,18696,23.88
670,16277,23.99
670,14266,24.13
670,2979,24.14
670,25044,24.15
670,21748,24.17
670,13366,24.18
670,20000,24.2
670,1556,24.24
670,15752,24.28
670,12284,24.3
670,13628,24.34
670,25182,24.37
670,11069,24.41
670,10219,24.52
670,14133,24.54
670,6966,24.55
670,16181,24.55
670,7264,24.59
670,10626,24.6
670,10466,24.62
670,2701,24.68
670,25557,24.68
670,3316,24.7
715,1486,23.21
715,2258,23.26
715,10219,23.4
715,3263,23.41
715,11321,23.43
715,19238,23.55
715,19349,23.78
715,16421,23.82
715,8331,23.88
715,796,23.91
715,13118,23.94
715,14122,23.95
715,22083,23.95
715,17230,23.98
715,22203,23.99
715,11964,24.03
715,6346,24.11
715,11957,24.2
715,22718,24.23
715,13158,24.27
715,13755,24.31
715,10668,24.35
715,18396,24.35
715,11019,24.39
715,8574,24.41
715,2935,24.44
715,18994,24.46
715,5896,24.52
715,2392,24.53
715,12617,24.54
715,19589,24.54
715,18914,24.55
715,6099,24.61
715,25382,24.63
715,11239,24.65
715,11732,24.66
715,4936,24.67
715,24579,24.7
715,25557,24.72
727,15929,20.66
727,19340,21.630000000000003
727,21391,21.64
727,25860,21.66
727,2662,22.02
727,5544,22.05
727,15873,22.07
727,13009,22.14
727,23270,22.32
727,16984,22.47
727,21550,22.64
727,24114,22.66
727,1994,22.67
727,22944,22.72
727,20691,22.77
727,19763,22.83
727,24003,22.97
727,23176,22.98
727,16455,23.08
727,3592,23.12
727,4299,23.17
727,20289,23.21
727,23103,23.31
727,1556,23.37
727,8404,23.39
727,21708,23.43
727,15902,23.47
727,3316,23.47
727,13673,23.51
727,19436,23.56
727,14559,23.6
727,14656,23.61
727,18147,23.63
727,2156,23.63
727,25677,23.65
727,11558,23.66
727,7148,23.69
727,2165,23.71
727,10467,23.72
727,8631,23.74
727,1538,23.77
727,5536,23.8
727,19413,23.83
727,1708,23.85
727,18314,23.88
727,12201,23.92
727,23993,23.93
727,18997,23.93
727,23385,24.02
727,22916,24.03
727,10815,24.04
727,4681,24.04
727,17938,24.06
727,9489,24.07
727,13837,24.08
727,5994,24.11
