ID,tList
78,"['GO:0000272' 'GO:0005975' 'GO:0005976' 'GO:0008152' 'GO:0009056'
 'GO:0009057' 'GO:0009987' 'GO:0010393' 'GO:0016043' 'GO:0016052'
 'GO:0042545' 'GO:0043170' 'GO:0044238' 'GO:0045229' 'GO:0045488'
 'GO:0045490' 'GO:0071554' 'GO:0071555' 'GO:0071704' 'GO:0071840'
 'GO:1901575']"
104,"['GO:0006139' 'GO:0006725' 'GO:0006807' 'GO:0008152' 'GO:0009987'
 'GO:0034641' 'GO:0044237' 'GO:0044238' 'GO:0046483' 'GO:0071704'
 'GO:1901360']"
175,['GO:0006950' 'GO:0006952' 'GO:0009607' 'GO:0050896']
228,"['GO:0006996' 'GO:0007010' 'GO:0007015' 'GO:0007154' 'GO:0007163'
 'GO:0007165' 'GO:0007264' 'GO:0008360' 'GO:0009987' 'GO:0016043'
 'GO:0022603' 'GO:0022604' 'GO:0023052' 'GO:0030029' 'GO:0030036'
 'GO:0030865' 'GO:0032956' 'GO:0032970' 'GO:0033043' 'GO:0035556'
 'GO:0044699' 'GO:0044700' 'GO:0044763' 'GO:0050789' 'GO:0050793'
 'GO:0050794' 'GO:0050896' 'GO:0051128' 'GO:0051493' 'GO:0051716'
 'GO:0065007' 'GO:0065008' 'GO:0071840' 'GO:0097435']"
299,['GO:0006457' 'GO:0009987']
485,"['GO:0000245' 'GO:0000375' 'GO:0000377' 'GO:0000395' 'GO:0000398'
 'GO:0006139' 'GO:0006376' 'GO:0006396' 'GO:0006397' 'GO:0006725'
 'GO:0006807' 'GO:0008152' 'GO:0008380' 'GO:0009987' 'GO:0010467'
 'GO:0016043' 'GO:0016070' 'GO:0016071' 'GO:0022607' 'GO:0022613'
 'GO:0022618' 'GO:0034622' 'GO:0034641' 'GO:0043170' 'GO:0043933'
 'GO:0044085' 'GO:0044237' 'GO:0044238' 'GO:0044260' 'GO:0045292'
 'GO:0046483' 'GO:0065003' 'GO:0071704' 'GO:0071826' 'GO:0071840'
 'GO:0090304' 'GO:1901360']"
544,"['GO:0006743' 'GO:0006744' 'GO:0008152' 'GO:0009058' 'GO:0009987'
 'GO:0042180' 'GO:0042181' 'GO:0044237' 'GO:0044249' 'GO:0044281'
 'GO:0044283' 'GO:0071704' 'GO:1901576' 'GO:1901661' 'GO:1901663']"
574,"['GO:0006629' 'GO:0008152' 'GO:0044238' 'GO:0044699' 'GO:0044710'
 'GO:0071704']"
670,"['GO:0006629' 'GO:0008152' 'GO:0044238' 'GO:0044699' 'GO:0044710'
 'GO:0071704']"
715,"['GO:0000272' 'GO:0005975' 'GO:0005976' 'GO:0008152' 'GO:0009056'
 'GO:0009057' 'GO:0010393' 'GO:0016052' 'GO:0043170' 'GO:0044238'
 'GO:0045488' 'GO:0045490' 'GO:0071704' 'GO:1901575']"
727,"['GO:0006464' 'GO:0006468' 'GO:0006793' 'GO:0006796' 'GO:0006807'
 'GO:0008152' 'GO:0009987' 'GO:0016310' 'GO:0019538' 'GO:0036211'
 'GO:0043170' 'GO:0043412' 'GO:0044237' 'GO:0044238' 'GO:0044260'
 'GO:0044267' 'GO:0046777' 'GO:0071704' 'GO:1901564']"
732,"['GO:0006412' 'GO:0006518' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009987' 'GO:0010467' 'GO:0019538' 'GO:0034641'
 'GO:0034645' 'GO:0043043' 'GO:0043170' 'GO:0043603' 'GO:0043604'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044267'
 'GO:0044271' 'GO:0071704' 'GO:1901564' 'GO:1901566' 'GO:1901576']"
741,"['GO:0006139' 'GO:0006351' 'GO:0006355' 'GO:0006725' 'GO:0006807'
 'GO:0008152' 'GO:0009058' 'GO:0009059' 'GO:0009889' 'GO:0009987'
 'GO:0010467' 'GO:0010468' 'GO:0010556' 'GO:0016070' 'GO:0018130'
 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0031323' 'GO:0031326'
 'GO:0032502' 'GO:0032774' 'GO:0034641' 'GO:0034645' 'GO:0034654'
 'GO:0043170' 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260'
 'GO:0044271' 'GO:0046483' 'GO:0050789' 'GO:0050794' 'GO:0051171'
 'GO:0051252' 'GO:0060255' 'GO:0065007' 'GO:0071704' 'GO:0080090'
 'GO:0090304' 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576'
 'GO:1903506' 'GO:2000112' 'GO:2001141']"
796,"['GO:0006355' 'GO:0006357' 'GO:0009889' 'GO:0009890' 'GO:0009891'
 'GO:0009892' 'GO:0009893' 'GO:0010468' 'GO:0010556' 'GO:0010557'
 'GO:0010558' 'GO:0010604' 'GO:0010605' 'GO:0019219' 'GO:0019222'
 'GO:0031323' 'GO:0031324' 'GO:0031325' 'GO:0031326' 'GO:0031327'
 'GO:0031328' 'GO:0045892' 'GO:0045893' 'GO:0045934' 'GO:0045935'
 'GO:0045944' 'GO:0048518' 'GO:0048519' 'GO:0048522' 'GO:0048523'
 'GO:0050789' 'GO:0050794' 'GO:0051171' 'GO:0051172' 'GO:0051173'
 'GO:0051252' 'GO:0051253' 'GO:0051254' 'GO:0060255' 'GO:0065007'
 'GO:0080090' 'GO:1902679' 'GO:1902680' 'GO:1903506' 'GO:1903507'
 'GO:1903508' 'GO:2000112' 'GO:2000113' 'GO:2001141']"
827,"['GO:0001101' 'GO:0006139' 'GO:0006351' 'GO:0006355' 'GO:0006725'
 'GO:0006807' 'GO:0007154' 'GO:0007165' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009719' 'GO:0009725' 'GO:0009739' 'GO:0009740'
 'GO:0009755' 'GO:0009889' 'GO:0009987' 'GO:0010033' 'GO:0010467'
 'GO:0010468' 'GO:0010476' 'GO:0010556' 'GO:0016070' 'GO:0018130'
 'GO:0019219' 'GO:0019222' 'GO:0019438' 'GO:0023052' 'GO:0031323'
 'GO:0031326' 'GO:0032774' 'GO:0032870' 'GO:0033993' 'GO:0034641'
 'GO:0034645' 'GO:0034654' 'GO:0042221' 'GO:0043170' 'GO:0044237'
 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044271' 'GO:0044699'
 'GO:0044700' 'GO:0044763' 'GO:0046483' 'GO:0050789' 'GO:0050794'
 'GO:0050896' 'GO:0051171' 'GO:0051252' 'GO:0051716' 'GO:0060255'
 'GO:0065007' 'GO:0070887' 'GO:0071229' 'GO:0071310' 'GO:0071370'
 'GO:0071396' 'GO:0071495' 'GO:0071704' 'GO:0080090' 'GO:0090304'
 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576' 'GO:1901700'
 'GO:1901701' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
856,"['GO:0000302' 'GO:0000304' 'GO:0006950' 'GO:0006979' 'GO:0010035'
 'GO:0042221' 'GO:0050896' 'GO:1901700']"
868,"['GO:0006464' 'GO:0006468' 'GO:0006793' 'GO:0006796' 'GO:0006807'
 'GO:0006950' 'GO:0007154' 'GO:0008152' 'GO:0009267' 'GO:0009605'
 'GO:0009987' 'GO:0009991' 'GO:0016310' 'GO:0019538' 'GO:0031667'
 'GO:0031668' 'GO:0031669' 'GO:0033554' 'GO:0036211' 'GO:0042149'
 'GO:0042594' 'GO:0043170' 'GO:0043412' 'GO:0044237' 'GO:0044238'
 'GO:0044260' 'GO:0044267' 'GO:0050790' 'GO:0050896' 'GO:0051716'
 'GO:0065007' 'GO:0065009' 'GO:0071496' 'GO:0071704' 'GO:1901564']"
891,"['GO:0006605' 'GO:0006626' 'GO:0006810' 'GO:0006839' 'GO:0006886'
 'GO:0006996' 'GO:0007005' 'GO:0008104' 'GO:0009987' 'GO:0015031'
 'GO:0016043' 'GO:0017038' 'GO:0030150' 'GO:0033036' 'GO:0033365'
 'GO:0034613' 'GO:0044699' 'GO:0044743' 'GO:0044763' 'GO:0044765'
 'GO:0045184' 'GO:0046907' 'GO:0051179' 'GO:0051234' 'GO:0051641'
 'GO:0051649' 'GO:0055085' 'GO:0065002' 'GO:0070585' 'GO:0070727'
 'GO:0071702' 'GO:0071705' 'GO:0071806' 'GO:0071840' 'GO:0072594'
 'GO:0072655' 'GO:1902578' 'GO:1902580' 'GO:1902582' 'GO:1990542']"
894,"['GO:0000278' 'GO:0000280' 'GO:0006996' 'GO:0007049' 'GO:0007067'
 'GO:0009987' 'GO:0016043' 'GO:0022402' 'GO:0044699' 'GO:0044763'
 'GO:0048285' 'GO:0051301' 'GO:0071840' 'GO:1903047']"
970,"['GO:0000226' 'GO:0006996' 'GO:0007010' 'GO:0007017' 'GO:0007049'
 'GO:0009987' 'GO:0016043' 'GO:0022402' 'GO:0022607' 'GO:0044085'
 'GO:0070925' 'GO:0071840']"
990,"['GO:0006139' 'GO:0006351' 'GO:0006352' 'GO:0006355' 'GO:0006366'
 'GO:0006367' 'GO:0006725' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009889' 'GO:0009987' 'GO:0010467' 'GO:0010468'
 'GO:0010556' 'GO:0016043' 'GO:0016070' 'GO:0018130' 'GO:0019219'
 'GO:0019222' 'GO:0019438' 'GO:0022607' 'GO:0031323' 'GO:0031326'
 'GO:0032774' 'GO:0034622' 'GO:0034641' 'GO:0034645' 'GO:0034654'
 'GO:0043170' 'GO:0043933' 'GO:0044085' 'GO:0044237' 'GO:0044238'
 'GO:0044249' 'GO:0044260' 'GO:0044271' 'GO:0046483' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255' 'GO:0065003'
 'GO:0065004' 'GO:0065007' 'GO:0070897' 'GO:0071704' 'GO:0071824'
 'GO:0071840' 'GO:0080090' 'GO:0090304' 'GO:0097659' 'GO:1901360'
 'GO:1901362' 'GO:1901576' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
1103,"['GO:0006139' 'GO:0006351' 'GO:0006725' 'GO:0006807' 'GO:0008152'
 'GO:0009058' 'GO:0009059' 'GO:0009299' 'GO:0009314' 'GO:0009416'
 'GO:0009628' 'GO:0009987' 'GO:0010467' 'GO:0016070' 'GO:0016071'
 'GO:0018130' 'GO:0019438' 'GO:0032774' 'GO:0034641' 'GO:0034645'
 'GO:0034654' 'GO:0043170' 'GO:0044237' 'GO:0044238' 'GO:0044249'
 'GO:0044260' 'GO:0044271' 'GO:0046483' 'GO:0050896' 'GO:0071704'
 'GO:0090304' 'GO:0097659' 'GO:1901360' 'GO:1901362' 'GO:1901576']"
